,model_name,accuracy_score,precision_score,recall_score,f1_score
2,random_forest,0.8154444444444444,0.7445234013368228,0.6515539430934711,0.6751119661876511
4,ada_boost,0.8156666666666667,0.7551358890673593,0.6369535717118817,0.6608243542424863
1,Stochastic Gradient Descent,0.8095555555555556,0.7386758450498425,0.6279958343004356,0.6494829862686221
6,k_nearest_neighbor,0.7898888888888889,0.6849970179238472,0.626696185051307,0.6424817100898703
3,decision_tree,0.7388888888888889,0.6214716414056192,0.6218205207783721,0.621645119222038
5,logistic_regression,0.8062222222222222,0.7520039883094964,0.5987069505742025,0.6136529380542108
0,dummy,0.7787777777777778,0.3893888888888889,0.5,0.437816228371541
