,model_name,accuracy_score,precision_score,recall_score,f1_score
2,random_forest,0.9242156862745098,0.9242356666163631,0.9242156862745098,0.9242147939554266
3,decision_tree,0.874313725490196,0.8778879850259182,0.874313725490196,0.8740158196451925
6,k_nearest_neighbor,0.7498039215686274,0.750464933290303,0.7498039215686274,0.7496387370383051
4,ada_boost,0.7127450980392157,0.7201607836172208,0.7127450980392157,0.7103056510928474
5,logistic_regression,0.6751960784313725,0.6763413207320019,0.6751960784313725,0.6746678639970611
1,Stochastic Gradient Descent,0.6737254901960784,0.687665867870537,0.6737254901960785,0.6675516781757338
0,dummy,0.5,0.25,0.5,0.3333333333333333
