,model_name,grid_accuracy,best_parameters
0,random_forest,0.9642156865645098,"{'random_forest__criterion': 'entropy', 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_split': 2, 'random_forest__n_estimators': 150}"
1,random_forest,,
