,model_name,accuracy_score,precision_score,recall_score,f1_score
2,random_forest,0.8132222222222222,0.740202744591411,0.6540432168234859,0.6768177176947971
4,ada_boost,0.8146666666666667,0.7574418993012868,0.6354336399179449,0.6590785218560372
6,k_nearest_neighbor,0.7932222222222223,0.6947218351416837,0.6358443645439161,0.6525209780423507
3,decision_tree,0.7264444444444444,0.6125067276107253,0.6180959947776091,0.6150119687180805
5,logistic_regression,0.8062222222222222,0.7618865671641791,0.5976713420659608,0.6119517285355114
1,Stochastic Gradient Descent,0.7873333333333333,0.7171050901951409,0.5441290104967235,0.5292298368477759
0,dummy,0.777,0.3885,0.5,0.43725379853685986
